timestamp,report_month,report_year,jurisdiction,offender_profiles,arrestee,forensic_profiles,ndis_labs,investigations_aided,capture_date,capture_year
20021017191319,,,Army,16,0,794,1,9,2002-10-17 19:13:19,2002
20021017192322,,,Arizona Stats Arizona,14268,0,1248,7,97,2002-10-17 19:23:22,2002
20021217023834,,,Arizona Stats Arizona,14787,0,1290,7,102,2002-12-17 02:38:34,2002
20021227093504,,,Army,127,0,815,1,10,2002-12-27 09:35:04,2002
20030118034827,,,Missouri Stats Missouri,22432,0,1824,4,162,2003-01-18 03:48:27,2003
20030202144718,,,New Mexico Stats New Mexico,20635,0,139,3,34,2003-02-02 14:47:18,2003
20030202144723,,,Army,192,0,828,1,21,2003-02-02 14:47:23,2003
20030202144833,,,Ohio Stats Ohio,31793,0,1524,9,140,2003-02-02 14:48:33,2003
20030202145057,,,Nevada Stats Nevada,3789,0,418,2,40,2003-02-02 14:50:57,2003
20030202145334,,,New Jersey Stats New Jersey,9214,0,695,1,35,2003-02-02 14:53:34,2003
20030202145619,,,Alaska Stats Alaska,3233,0,75,1,22,2003-02-02 14:56:19,2003
20030202145652,,,Oklahoma Stats Oklahoma,15041,0,133,3,10,2003-02-02 14:56:52,2003
20030202145712,,,Arkansas Stats Arkansas,13297,0,186,1,15,2003-02-02 14:57:12,2003
20030202145937,,,Pennsylvania Stats Pennsylvania,20171,0,1444,3,136,2003-02-02 14:59:37,2003
20030202150431,,,Arizona Stats Arizona,15232,0,1340,7,106,2003-02-02 15:04:31,2003
20030202150502,,,Lab,120,0,1366,3,40,2003-02-02 15:05:02,2003
20030202150621,,,Rhode Island Stats Rhode Island,0,0,0,0,0,2003-02-02 15:06:21,2003
20030202150653,,,California Stats California,96170,0,1029,9,99,2003-02-02 15:06:53,2003
20030202151129,,,Colorado Stats Colorado,15659,0,300,3,38,2003-02-02 15:11:29,2003
20030202151134,,,South Carolina Stats South Carolina,22361,0,402,1,28,2003-02-02 15:11:34,2003
20030202151701,,,Puerto Rico Stats Puerto Rico,864,0,0,1,0,2003-02-02 15:17:01,2003
20030202151749,,,Connecticut Stats Connecticut,5278,0,341,1,48,2003-02-02 15:17:49,2003
20030202154355,,,South Dakota Stats South Dakota,1623,0,2,1,0,2003-02-02 15:43:55,2003
20030202154745,,,Delaware Stats Delaware,1442,0,35,1,0,2003-02-02 15:47:45,2003
20030202155910,,,Hawaii Stats Hawaii,0,0,0,0,0,2003-02-02 15:59:10,2003
20030202155944,,,Georgia Stats Georgia,60142,0,2673,2,319,2003-02-02 15:59:44,2003
20030202160513,,,Utah Stats Utah,3942,0,151,1,4,2003-02-02 16:05:13,2003
20030202160805,,,Vermont Stats Vermont,424,0,4,1,0,2003-02-02 16:08:05,2003
20030202161135,,,Illinois Stats Illinois,23752,0,4643,8,642,2003-02-02 16:11:35,2003
20030202161612,,,Washington State Stats Washington,34682,0,324,4,56,2003-02-02 16:16:12,2003
20030213000907,,,Wisconsin Stats Wisconsin,56994,0,1155,2,168,2003-02-13 00:09:07,2003
20030213001541,,,Indiana Stats Indiana,26095,0,206,3,125,2003-02-13 00:15:41,2003
20030213003100,,,Kentucky Stats Kentucky,3738,0,549,1,37,2003-02-13 00:31:00,2003
20030213003136,,,Wyoming Stats Wyoming,5024,0,4,1,3,2003-02-13 00:31:36,2003
20030213003421,,,West Virginia Stats West Virginia,760,0,0,1,2,2003-02-13 00:34:21,2003
20030213004135,,,Louisiana Stats Louisiana,2000,0,6,2,0,2003-02-13 00:41:35,2003
20030213004224,,,Maine Stats Maine,3884,0,411,1,38,2003-02-13 00:42:24,2003
20030213004533,,,Massachusetts Stats Massachusetts,9138,0,439,2,138,2003-02-13 00:45:33,2003
20030213005228,,,Minnesota Stats Minnesota,15280,0,1263,1,89,2003-02-13 00:52:28,2003
20030213005521,,,Missouri Stats Missouri,22432,0,1824,4,162,2003-02-13 00:55:21,2003
20030213005912,,,Montana Stats Montana,1979,0,18,1,3,2003-02-13 00:59:12,2003
20030213010359,,,North Carolina Stats North Carolina,35494,0,1079,2,79,2003-02-13 01:03:59,2003
20030213010658,,,Mississippi Stats Mississippi,0,0,0,0,0,2003-02-13 01:06:58,2003
20030213010734,,,North Dakota Stats North Dakota,440,0,0,1,0,2003-02-13 01:07:34,2003
20030213010813,,,Nebraska Stats Nebraska,1833,0,81,1,4,2003-02-13 01:08:13,2003
20030213011905,,,New Hampshire Stats New Hampshire,0,0,0,0,0,2003-02-13 01:19:05,2003
20030424050608,,,Maine Stats Maine,3134,0,438,1,38,2003-04-24 05:06:08,2003
20030616091314,,,Louisiana Stats Louisiana,2001,0,21,3,0,2003-06-16 09:13:14,2003
20030625020216,,,California Stats California,97903,0,2452,13,99,2003-06-25 02:02:16,2003
20030625020234,,,Lab,185,0,1424,3,61,2003-06-25 02:02:34,2003
20030625021918,,,South Carolina Stats South Carolina,25368,0,75,1,41,2003-06-25 02:19:18,2003
20030625022012,,,Rhode Island Stats Rhode Island,0,0,0,0,0,2003-06-25 02:20:12,2003
20030625044142,,,Georgia Stats Georgia,67499,0,2925,2,334,2003-06-25 04:41:42,2003
20030625044949,,,Hawaii Stats Hawaii,0,0,0,1,0,2003-06-25 04:49:49,2003
20030625050136,,,Iowa Stats Iowa,3413,0,296,1,2,2003-06-25 05:01:36,2003
20030625050904,,,Idaho Stats Idaho,2563,0,58,1,4,2003-06-25 05:09:04,2003
20030625053509,,,Kentucky Stats Kentucky,3738,0,639,1,43,2003-06-25 05:35:09,2003
20030625061415,,,Mississippi Stats Mississippi,0,0,0,0,0,2003-06-25 06:14:15,2003
20030625065807,,,New Hampshire Stats New Hampshire,0,0,11,1,1,2003-06-25 06:58:07,2003
20030625071207,,,Mexico Stats New Mexico,21999,0,192,3,43,2003-06-25 07:12:07,2003
20030625083438,,,Virginia Stats Virginia,133110,0,1659,4,1144,2003-06-25 08:34:38,2003
20030625084845,,,Washington State Stats Washington,34730,0,388,4,84,2003-06-25 08:48:45,2003
20030625090314,,,Wyoming Stats Wyoming,5024,0,4,1,3,2003-06-25 09:03:14,2003
20030626003513,,,Alabama Stats Alabama,2507,0,22,3,299,2003-06-26 00:35:13,2003
20030626005009,,,Arkansas Stats Arkansas,13346,0,206,1,15,2003-06-26 00:50:09,2003
20030803124104,,,Connecticut Stats Connecticut,5700,0,446,1,48,2003-08-03 12:41:04,2003
20030803124306,,,Colorado Stats Colorado,22091,0,456,3,53,2003-08-03 12:43:06,2003
20030803125035,,,Delaware Stats Delaware,1624,0,52,1,0,2003-08-03 12:50:35,2003
20030803125225,,,Florida Stats Florida,168071,0,5274,9,1396,2003-08-03 12:52:25,2003
20030803125350,,,Idaho Stats Idaho,2563,0,58,1,4,2003-08-03 12:53:50,2003
20030803130341,,,Arizona Stats Arizona,16339,0,1742,7,165,2003-08-03 13:03:41,2003
20030803133958,,,Maryland Stats Maryland,14983,0,696,5,80,2003-08-03 13:39:58,2003
20030803134213,,,Michigan Stats Michigan,29594,0,1423,3,128,2003-08-03 13:42:13,2003
20030803141836,,,North Dakota Stats North Dakota,646,0,4,1,0,2003-08-03 14:18:36,2003
20030803151236,,,New York Stats New York,111415,0,8967,9,1424,2003-08-03 15:12:36,2003
20030803151339,,,Ohio Stats Ohio,31910,0,2402,10,271,2003-08-03 15:13:39,2003
20030803151759,,,Nevada Stats Nevada,5168,0,541,2,42,2003-08-03 15:17:59,2003
20030803183824,,,South Dakota Stats South Dakota,1749,0,11,1,0,2003-08-03 18:38:24,2003
20030803184202,,,Utah Stats Utah,3953,0,189,1,5,2003-08-03 18:42:02,2003
20030803184544,,,Tennessee Stats Tennessee,40062,0,901,3,56,2003-08-03 18:45:44,2003
20030803184845,,,Virginia Stats Virginia,134534,0,1941,4,1242,2003-08-03 18:48:45,2003
20030803185039,,,Vermont Stats Vermont,600,0,4,1,0,2003-08-03 18:50:39,2003
20030803185453,,,Wisconsin Stats Wisconsin,58490,0,1372,2,207,2003-08-03 18:54:53,2003
20030803185616,,,West Virginia Stats West Virginia,1118,0,10,1,2,2003-08-03 18:56:16,2003
20030804031505,,,Texas Stats Texas,150704,0,4696,16,398,2003-08-04 03:15:05,2003
20030804064828,,,North Carolina Stats North Carolina,36137,0,1177,2,85,2003-08-04 06:48:28,2003
20030814021128,,,Alaska Stats Alaska,3169,0,158,1,42,2003-08-14 02:11:28,2003
20030918211926,,,Massachusetts Stats Massachusetts,10786,0,545,2,138,2003-09-18 21:19:26,2003
20030918211958,,,Minnesota Stats Minnesota,16346,0,1482,1,109,2003-09-18 21:19:58,2003
20031009023717,,,New Jersey Stats New Jersey,10720,0,950,1,44,2003-10-09 02:37:17,2003
20031119082524,,,New York Stats New York,114749,0,10110,9,1705,2003-11-19 08:25:24,2003
20031119085946,,,Texas Stats Texas,153811,0,5003,16,398,2003-11-19 08:59:46,2003
20031223150907,,,Iowa Stats Iowa,3239,0,460,1,4,2003-12-23 15:09:07,2003
20031223150914,,,Nebraska Stats Nebraska,2021,0,140,1,5,2003-12-23 15:09:14,2003
20031223150923,,,Indiana Stats Indiana,29939,0,482,3,170,2003-12-23 15:09:23,2003
20031223150937,,,Oregon Stats Oregon,51798,0,1453,1,217,2003-12-23 15:09:37,2003
20031223150942,,,Pennsylvania Stats Pennsylvania,17928,0,1952,3,177,2003-12-23 15:09:42,2003
20031223150944,,,Army,1096,0,952,1,53,2003-12-23 15:09:44,2003
20031223150950,,,Maryland Stats Maryland,16153,0,781,5,87,2003-12-23 15:09:50,2003
20031223151040,,,Montana Stats Montana,2276,0,39,1,6,2003-12-23 15:10:40,2003
20031223151055,,,Michigan Stats Michigan,33929,0,1906,3,219,2003-12-23 15:10:55,2003
20031223151103,,,Kansas Stats Kansas,9678,0,622,5,5,2003-12-23 15:11:03,2003
20031223151118,,,Illinois Stats Illinois,29158,0,6008,9,876,2003-12-23 15:11:18,2003
20031223151127,,,Florida Stats Florida,162925,0,4693,9,1758,2003-12-23 15:11:27,2003
20031223151200,,,Tennessee Stats Tennessee,42894,0,1021,3,65,2003-12-23 15:12:00,2003
20031223151211,,,Oklahoma Stats Oklahoma,15041,0,172,3,10,2003-12-23 15:12:11,2003
20031223151221,,,Alabama Stats Alabama,3105,0,23,3,299,2003-12-23 15:12:21,2003
20040118025911,,,Pennsylvania Stats Pennsylvania,17928,0,1952,3,177,2004-01-18 02:59:11,2004
20040205182335,,,Alaska Stats Alaska,3175,0,204,1,48,2004-02-05 18:23:35,2004
20040205183448,,,Alabama Stats Alabama,9231,0,24,3,299,2004-02-05 18:34:48,2004
20040205183707,,,Arkansas Stats Arkansas,15160,0,381,1,32,2004-02-05 18:37:07,2004
